748291	1580
694047	1579
139525	1579
2250634	1579
1031162	1570
1620540	1567
525461	1563
750458	1561
432290	1560
385248	1556
24388	1553
754451	1552
671293	1539
753518	1536
1414107	1534
331190	1533
737714	1530
43466	1526
2360937	1525
699749	1522
292077	1520
328641	1520
738656	1519
134151	1519
584520	1518
606419	1513
609311	1513
2283784	1513
499482	1500
2219231	1497
2449250	1497
175968	1496
903106	1496
374767	1493
372510	1490
1494410	1486
327557	1485
451830	1484
1198838	1482
446774	1480
2416315	1480
1109083	1479
652142	1479
792964	1472
1191853	1468
635171	1467
2288193	1464
334769	1462
366440	1458
402631	1458
440650	1455
714239	1450
1217044	1449
996030	1449
750743	1443
2431027	1442
1028120	1438
925999	1437
410998	1434
727908	1433
1650892	1432
694464	1429
501106	1427
462231	1424
963651	1422
901880	1420
2211003	1420
519054	1418
342472	1414
2464479	1414
580821	1413
1280904	1412
773801	1409
124997	1409
186318	1407
1759729	1404
945049	1400
306591	1399
165273	1398
356752	1397
889855	1395
721240	1395
12483	1394
499478	1393
1805502	1391
1187395	1390
830537	1387
1886586	1383
1837608	1382
569503	1382
682290	1381
2241059	1381
2332406	1379
504995	1379
1487999	1379
1490776	1379
707032	1378
206750	1377
1113116	1375
293039	1374
1031435	1373
477640	1372
1511904	1370
933554	1369
332623	1367
738011	1366
586889	1363
72740	1363
2056689	1363
1330999	1360
2287463	1359
610054	1358
1293358	1357
840260	1356
2322094	1356
2194372	1355
723641	1354
2364885	1353
440706	1353
39804	1352
852235	1350
1236694	1349
890270	1346
993307	1346
1994072	1345
1990135	1343
511100	1340
750963	1337
494768	1332
2214329	1331
1257735	1330
1991756	1326
1258070	1325
870961	1324
1224369	1323
519986	1322
831747	1319
1211976	1318
867737	1318
1541421	1318
1765365	1316
2222454	1316
775766	1313
1742218	1309
534054	1308
1250546	1306
1077335	1306
1269899	1303
358471	1300
1242911	1296
1919102	1295
79116	1293
1435435	1293
599699	1292
559097	1290
1206396	1288
29157	1285
956519	1281
1264800	1280
811908	1275
2418933	1275
345450	1275
2122109	1274
962050	1273
705655	1272
747535	1269
2120192	1269
598357	1266
747066	1266
1991315	1265
640447	1264
2278772	1264
2463664	1262
979887	1261
326220	1260
824132	1259
833927	1258
1027950	1256
1282660	1255
285577	1254
759178	1253
2239337	1253
720129	1252
564538	1250
790045	1250
1312076	1246
336471	1244
236292	1243
936950	1242
439731	1241
833895	1241
1683876	1240
1345755	1239
391953	1237
441459	1230
2011122	1228
353398	1227
